w0,w1
-0.6783103050765882,-0.08617569195820438
-0.685532334418306,-0.08256467728734551
-0.6879571714280476,-0.08353461209124215
-0.690472767286124,-0.08454085043447268
-0.6893391277762174,-0.07558509830621123
-0.689340105661317,-0.07558509830621123
-0.694661865474251,-0.06494157868034314
-0.6956247999463384,-0.06368976386662949
-0.6955693726000441,-0.06368976386662949
-0.7007851416013829,-0.06368976386662949
-0.7001776324079437,-0.0634467601892538
-0.7067395569744443,-0.0601657979060035
-0.7152587176922479,-0.1274671675766515
-0.7147133022385468,-0.1268126690322102
-0.7141517730969609,-0.1275426569162718
-0.713582144171269,-0.12828317451967128
-0.7130313252967773,-0.1276221918702813
-0.7168030705012716,-0.1321482861156745
-0.7161617840756547,-0.13189177154542775
-0.7151444658668907,-0.13006059876965265
-0.723570483043884,-0.13343100564044996
-0.7235135233782848,-0.13343100564044996
-0.7272897497047761,-0.13494149617104648
-0.7336294091691551,-0.131771666438857
-0.7396047017567635,-0.11982108126364013
-0.7396088267724922,-0.11982108126364013
-0.7390309332084497,-0.11958992383802315
-0.7380539658874475,-0.11783138266021917
-0.7374136710428967,-0.11277305338826772
-0.7373434231718253,-0.11277305338826772
-0.748240382553201,-0.198859032501136
-0.7558955747837125,-0.20192110939334063
-0.7584570894163388,-0.20499492695249227
-0.7577008815803348,-0.19902088504806043
-0.7560637306736766,-0.19983946050138954
-0.7553053351728612,-0.19847434859992197
-0.7567844208686746,-0.19655153719536467
-0.7621639419402126,-0.1987033456239799
-0.7613735034173132,-0.19245888129307448
-0.7607440621375656,-0.19170355175737738
-0.7600933981087183,-0.19254941499487885
-0.7663005327078897,-0.1801351457965362
-0.7656524119900154,-0.17935740093508712
-0.7651162359401013,-0.17871398967519012
-0.7650251750846985,-0.17871398967519012
-0.7647792690267203,-0.1767713318171625
-0.7715484446687312,-0.16323298053314078
-0.7715624764397909,-0.16323298053314078
-0.7769136440161717,-0.16055739674495037
-0.782513278144375,-0.1532778723782861
-0.7825340765820277,-0.1532778723782861
-0.781631709310975,-0.1532778723782861
-0.7810642654633041,-0.15259693976108094
-0.7809909452518148,-0.15259693976108094
-0.7824715768143108,-0.15259693976108094
-0.7824933512556571,-0.15259693976108094
-0.7816766798172585,-0.15112693117196355
-0.7897733185297692,-0.13493365374694216
-0.7927618638563754,-0.13851990813886964
-0.8007782416849079,-0.2018492929842759
-0.8001391726432128,-0.20108241013424183
-0.8080804396443263,-0.20425891693468723
-0.807541465850078,-0.2040433274169879
-0.8068958832842904,-0.20488258475251175
-0.8100740238878779,-0.20075100196784804
-0.8094183999306487,-0.19996425321917297
-0.8126806041202334,-0.20126913489500683
-0.8213469670740591,-0.18393640898735542
-0.8326810370328933,-0.18393640898735542
-0.8351462278553126,-0.20341141648446753
-0.836547231247251,-0.21447934328078128
-0.8351900088624569,-0.2151579544731784
-0.8375890466374556,-0.21203920536568005
-0.839357084499026,-0.21274642051030823
-0.8385041888672838,-0.21274642051030823
-0.8386388471275613,-0.21274642051030823
-0.8379810792632303,-0.21195709907311097
-0.8419576451981718,-0.2099688161056402
-0.84180574404745,-0.2099688161056402
-0.8433330238408138,-0.21057972802298566
-0.8432934486784328,-0.21057972802298566
-0.8446729898764845,-0.21113154450220636
-0.8440546842202988,-0.21193534185524776
-0.843222254011925,-0.21193534185524776
-0.8427019229546806,-0.21172720943235002
-0.8532273411194914,-0.21593737669827434
-0.8525975787476765,-0.21480380442900748
-0.8628021862811773,-0.1943945893620058
-0.8631661905691755,-0.1943945893620058
-0.8624635351822474,-0.19355140289769207
-0.8622782325496964,-0.19379229632000833
-0.862092499402178,-0.19379229632000833
-0.8619299044274977,-0.19400366978709274
-0.8613152843635171,-0.193266125710316
-0.8611278541705223,-0.193266125710316
-0.8719596119921948,-0.17160261006697095
-0.8711869661945405,-0.17160261006697095
-0.8732409905368641,-0.18782940237132764
-0.8730345336034844,-0.18782940237132764
-0.8729043355785224,-0.18782940237132764
-0.8842479070525191,-0.1923668309609263
-0.8954983714287602,-0.19686701671142276
-0.8953521256341855,-0.19686701671142276
-0.8948456005143279,-0.19666440666347973
-0.8942417995195462,-0.19744934795669594
-0.8939842175069724,-0.19744934795669594
-0.8932482737309764,-0.19656621542550065
-0.892865737775489,-0.1935441813771511
-0.8927142449318046,-0.1935441813771511
-0.8920371384473288,-0.19273165359578015
-0.890971014195785,-0.1941176151227871
-0.8935442677763045,-0.19283098833252735
-0.8925009848604991,-0.19418725612307436
-0.892343758566347,-0.19418725612307436
-0.891699973602907,-0.19502417657554633
-0.8910163131041532,-0.19420378397704172
-0.8906160852974886,-0.1910419843043914
-0.9003812564220343,-0.1910419843043914
-0.9111090045078002,-0.19533308353869777
-0.9133394067758578,-0.194217882404669
-0.9126280200531306,-0.1933642183373963
-0.921589515190567,-0.1933642183373963
-0.9205177938114235,-0.19390007902696804
-0.9199010586142599,-0.19365338494810258
-0.9192001356059087,-0.19456458485895906
-0.9278618760469494,-0.19456458485895906
-0.9266954544716609,-0.19608093290683412
-0.9260857324529305,-0.19583704409934194
-0.9258688190206869,-0.19583704409934194
-0.9279145083542474,-0.19481419943256167
-0.9290062644394095,-0.19612430673475617
-0.9292737892015339,-0.19823775235553928
-0.9281176915641925,-0.19881580117420997
-0.9269425875886562,-0.19940335316197813
-0.9380289133096218,-0.17723070172004698
-0.9372803825665438,-0.17588334638250655
-0.9366385014188486,-0.1756265939234285
-0.9358773633789659,-0.1742565454516395
-0.9400954257315245,-0.1742565454516395
-0.9393424521637228,-0.17290119302959653
-0.9466966447978286,-0.17290119302959653
-0.945933537635487,-0.1715276001373819
-0.944843421882507,-0.17207265801387192
-0.9441758660892978,-0.17180563569658824
-0.9452458449126484,-0.173089610284609
-0.9449631222231257,-0.173089610284609
-0.9441894844312103,-0.173089610284609
-0.9434030820171447,-0.17167408593929104
-0.9426295209173341,-0.17167408593929104
-0.9492997164777552,-0.17167408593929104
-0.9486354749466986,-0.1714083893268684
-0.9479640084053456,-0.17113980271032717
-0.9477313246985145,-0.16930160142636194
-0.9468885248621105,-0.16930160142636194
-0.9465096653273678,-0.1663086111018945
-0.9456545864093424,-0.1663086111018945
-0.9448944881419745,-0.1663086111018945
-0.9440769281191796,-0.16737143913152785
-0.9454804495102768,-0.16666967843597932
-0.9452254423902774,-0.1646551221879842
-0.9536954172373012,-0.1477151724939365
-0.9532023425048343,-0.14381988210744728
-0.9522257654992956,-0.14508943221464748
-0.9511537495188188,-0.14562544020488588
-0.9504612629007834,-0.14534844555767173
-0.94971275896164,-0.1450490439820144
-0.9606723750169726,-0.1450490439820144
-0.9597429700452196,-0.14393375801591088
-0.9589871241846276,-0.14491635763468044
-0.9637092716921534,-0.14491635763468044
-0.9632663803155802,-0.14491635763468044
-0.9641991918944527,-0.1444499518452442
-0.9723433730144486,-0.1444499518452442
-0.9716595126200395,-0.14417640768748052
-0.9708027629265003,-0.14460478253425016
-0.9704213523699329,-0.1415916391373679
-0.9693084642809702,-0.1415916391373679
-0.9689465135567824,-0.1387322284162848
-0.9715302042622239,-0.1387322284162848
-0.9711323289570422,-0.13558901350534905
-0.9707383409920314,-0.13247650858176355
-0.9721389795009802,-0.1330367639853431
-0.9755578726343351,-0.1330367639853431
-0.9750265685847359,-0.1330367639853431
-0.9763197132614383,-0.13355402185602405
-0.9796034553041346,-0.13355402185602405
-0.9791918567152424,-0.13030239300377547
-0.9787656241976712,-0.12693515611496273
-0.9783825164641626,-0.12743319616852392
-0.977630102906813,-0.12841133379307848
-0.9767189492487989,-0.12677125720865312
-0.9758600627849442,-0.12720070044058046
-0.9754626505607016,-0.1270417355508834
-0.9750543806811823,-0.12757248639425836
-0.9745977823218243,-0.12396535935532932
-0.975907102393181,-0.12396535935532932
-0.9770590788946149,-0.12442614995590284
-0.976534614612933,-0.12442614995590284
-0.975913373319371,-0.12442614995590284
-0.9750404046608556,-0.12486263428516055
-0.9746483288920608,-0.1253723327845939
-0.9736928081760449,-0.1236523954957652
-0.9747601660612324,-0.1249332249579902
-0.9742771979128213,-0.12111777658554226
-0.9748738031307087,-0.12081947397659858
-0.9742183974276521,-0.12081947397659858
-0.9727733782304061,-0.12081947397659858
-0.9720877425601968,-0.12081947397659858
-0.9750530897829216,-0.12081947397659858
-0.9756297516514914,-0.12053114304231369
-0.9752360260549031,-0.12037365280367839
