error,current_epoch
800.7570639658394,1
800.6098919470235,2
780.5079076806135,3
773.9046192432725,4
767.3245584158975,5
764.8914107121345,6
751.6102836964373,7
749.7623818982091,8
726.0534452644326,9
680.3550928920222,10
615.0221489893542,11
612.9776912570952,12
610.6169538428117,13
607.8949151209512,14
569.083657693827,15
562.7163050463777,16
561.5424813698883,17
508.51990638662664,18
492.0610631316342,19
462.473496498304,20
427.2542217304694,21
408.64088933722763,22
408.53812109696304,23
406.5674502118639,24
406.8236503148562,25
405.7049707323161,26
403.3148158884688,27
387.6315501309773,28
363.33908869967985,29
347.0483698302854,30
336.11323887937925,31
332.5951126049956,32
319.28508395424217,33
314.25265751238084,34
306.0571271403899,35
305.5035872737972,36
295.24173215441067,37
294.7326754089423,38
290.7088256761002,39
290.14442846731833,40
286.3852074136829,41
296.3291825774052,42
284.06685614860487,43
276.87149177367723,44
276.6271110987739,45
274.2874652379968,46
282.3963603273803,47
279.8832034792248,48
281.8304958901039,49
283.05282256858516,50
284.17137371206337,51
279.2670177817909,52
269.913683531382,53
268.1232126093639,54
265.8626507100311,55
265.31490778589443,56
268.99963169951275,57
267.6823664747806,58
266.81208070138865,59
266.6104593866781,60
267.08509254430174,61
266.9715461614269,62
264.9827689019012,63
262.2786321349931,64
262.1626367541024,65
278.49961719471247,66
277.51782033967487,67
281.49532684288863,68
281.06063075821123,69
280.66661618910234,70
281.83491119277636,71
282.0200883484668,72
281.62587974897565,73
293.2478238306214,74
292.2566270786612,75
284.44471200841593,76
277.4139884451949,77
269.6801863992516,78
268.8346970305174,79
277.6432536741468,80
261.4072074026009,81
260.9505767196759,82
260.56336370001367,83
255.83716780312412,84
252.7308680235964,85
244.05813801670269,86
237.85769597701244,87
237.43933056306062,88
236.41781568383453,89
234.2993196024753,90
239.1011509026534,91
240.10347747587673,92
244.22973468595418,93
243.3948032985254,94
241.3637932749418,95
240.61089419096038,96
244.05797848789234,97
245.28479578917046,98
239.99472025337033,99
237.78217619815263,100
245.67536640998654,101
244.5132638079492,102
243.35615549121547,103
241.35752326590023,104
234.96012021422845,105
239.25927902208102,106
251.2401625144841,107
245.59110750564926,108
249.17306473655802,109
240.53387350961498,110
235.0148418572189,111
234.95502660497098,112
235.55127480210007,113
230.7751480492301,114
230.7722115041801,115
227.5440050727646,116
234.59687398349328,117
223.08902452242603,118
221.47739002341652,119
221.1928524514279,120
224.86745142882788,121
223.72804816169406,122
222.9750880036352,123
221.7489821298113,124
221.87142600267538,125
221.7059945518234,126
221.1930548471557,127
220.68064978408043,128
225.03407929480971,129
