error,current_epoch,gen_error
48.318772727244585,1,48.318772727244585
48.33993417042113,2,48.33993417042113
47.44202458929697,3,47.44202458929697
47.4467662440243,4,47.4467662440243
47.39950622037992,5,47.39950622037992
47.382464103130914,6,47.382464103130914
45.26553147229937,7,45.26553147229937
30.922680129955598,8,30.922680129955598
30.121955908200412,9,30.121955908200412
28.037217369196213,10,28.037217369196213
28.00655622868023,11,28.00655622868023
28.14536883052393,12,28.14536883052393
27.74963174864546,13,27.74963174864546
27.727815468159562,14,27.727815468159562
27.21335657378179,15,27.21335657378179
27.091699883387314,16,27.091699883387314
24.623404964511728,17,24.623404964511728
22.4939600950986,18,22.4939600950986
22.03028803417837,19,22.03028803417837
21.888649954370788,20,21.888649954370788
20.62550309206126,21,20.62550309206126
19.762031006675702,22,19.762031006675702
16.755021816272237,23,16.755021816272237
15.811159972458418,24,15.811159972458418
15.399148295861913,25,15.399148295861913
14.4839457962223,26,14.4839457962223
14.023009692417043,27,14.023009692417043
14.010310444588352,28,14.010310444588352
14.211000866371267,29,14.211000866371267
14.78449145465602,30,14.78449145465602
13.69864070873553,31,13.69864070873553
13.159339015105308,32,13.159339015105308
13.056233517061045,33,13.056233517061045
12.744857016374272,34,12.744857016374272
12.274430746717263,35,12.274430746717263
11.378197092292384,36,11.378197092292384
11.0251617800818,37,11.0251617800818
10.793845834127614,38,10.793845834127614
10.56993966432469,39,10.56993966432469
10.570227340096244,40,10.570227340096244
10.39214067723776,41,10.39214067723776
10.392608252950989,42,10.392608252950989
10.070870903156028,43,10.070870903156028
9.890616713823633,44,9.890616713823633
9.397343985830329,45,9.397343985830329
8.969510529189893,46,8.969510529189893
8.652789538885184,47,8.652789538885184
8.616114623760856,48,8.616114623760856
8.601932353628342,49,8.601932353628342
8.566411028251464,50,8.566411028251464
8.608124917491605,51,8.608124917491605
8.592845717393487,52,8.592845717393487
8.289332490784023,53,8.289332490784023
8.113705879989812,54,8.113705879989812
8.038772818452799,55,8.038772818452799
8.077146900382223,56,8.077146900382223
7.508724409401216,57,7.508724409401216
7.097734034342927,58,7.097734034342927
7.033724330003224,59,7.033724330003224
6.795780808347165,60,6.795780808347165
6.7950009875066,61,6.7950009875066
6.80641458936413,62,6.80641458936413
6.626191034906974,63,6.626191034906974
6.560846742682061,64,6.560846742682061
6.458956946465074,65,6.458956946465074
6.413534479433541,66,6.413534479433541
6.336634281765131,67,6.336634281765131
6.2835703783425,68,6.2835703783425
6.2341148203526044,69,6.2341148203526044
6.110210557567051,70,6.110210557567051
6.12078617000827,71,6.12078617000827
6.119550811161384,72,6.119550811161384
6.083063083479085,73,6.083063083479085
6.106848341484346,74,6.106848341484346
6.086320199770755,75,6.086320199770755
5.944640408962027,76,5.944640408962027
5.977996964046259,77,5.977996964046259
6.009255707377185,78,6.009255707377185
6.415642250568075,79,6.415642250568075
6.289738382303723,80,6.289738382303723
5.847981434657482,81,5.847981434657482
5.731688658681696,82,5.731688658681696
5.448630589871423,83,5.448630589871423
5.345110943019746,84,5.345110943019746
5.331814006377838,85,5.331814006377838
5.157063434787338,86,5.157063434787338
4.970735454587807,87,4.970735454587807
4.879505525611526,88,4.879505525611526
4.884710544488548,89,4.884710544488548
4.836842718507668,90,4.836842718507668
4.794132969404401,91,4.794132969404401
4.747658171318655,92,4.747658171318655
4.652616784661584,93,4.652616784661584
4.661629970140848,94,4.661629970140848
4.594405748166269,95,4.594405748166269
4.564351951432381,96,4.564351951432381
4.558001822438246,97,4.558001822438246
4.485654600457301,98,4.485654600457301
4.483072020489918,99,4.483072020489918
4.63753512201016,100,4.63753512201016
4.532576136648302,101,4.532576136648302
4.53669696584157,102,4.53669696584157
4.519105422306712,103,4.519105422306712
4.636499331921831,104,4.636499331921831
4.626324886032018,105,4.626324886032018
5.417758655108302,106,5.417758655108302
5.185952612618174,107,5.185952612618174
4.960220739801509,108,4.960220739801509
4.893033475533074,109,4.893033475533074
4.7423846557147735,110,4.7423846557147735
4.698717676708081,111,4.698717676708081
4.703407905087302,112,4.703407905087302
4.6603965775807765,113,4.6603965775807765
4.615379400886921,114,4.615379400886921
4.522321658039682,115,4.522321658039682
4.479857098729866,116,4.479857098729866
4.283418581133728,117,4.283418581133728
4.222512871158434,118,4.222512871158434
4.159844070146433,119,4.159844070146433
4.169489557454574,120,4.169489557454574
4.162345721637634,121,4.162345721637634
4.125955694521423,122,4.125955694521423
4.143426322753159,123,4.143426322753159
