error,current_epoch,gen_error
1.6298746947774494,1,8.856427126442188
1.743847737561309,2,8.667340717863048
1.6140690678179492,3,8.818407958700345
1.5761417502217618,4,7.577553860759367
1.5509916985416026,5,7.915848306550297
1.4968088467640275,6,6.979076803079139
1.2403903428645324,7,6.514442183407327
1.267885243912358,8,6.297342739063201
1.1586217954725457,9,6.264942833968726
0.7001426966173737,10,4.449396735981992
