pokeball,min_prob,max_prob,avg_prob
pokeball,0.0023205008940860032,0.43389733719990903,0.0242402482547667
ultraball,0.005242019276538351,0.9176534822907556,0.073062072155968
fastball,0.008847802120077256,0.4729896907728974,0.10663868419551953
heavyball,0.0007968062612024292,0.44058268925503835,0.13241379889529062
