generation,fitness,diversity
0,29.465375430142036,27.5
1,29.465375430142036,10.666666666666666
2,29.465375430142036,4.666666666666667
3,29.465375430142036,1.8333333333333333
4,29.465375430142036,2.0
5,29.465375430142036,4.0
6,29.465375430142036,3.8333333333333335
7,29.465375430142036,2.0
8,29.465375430142036,3.8333333333333335
9,29.465375430142036,6.0
10,29.465375430142036,4.0
11,29.465375430142036,3.8333333333333335
12,29.465375430142036,5.666666666666667
13,29.465375430142036,6.5
14,29.465375430142036,5.833333333333333
15,29.465375430142036,7.0
16,29.465375430142036,6.666666666666667
17,29.465375430142036,3.8333333333333335
18,29.465375430142036,5.666666666666667
19,29.465375430142036,5.833333333333333
20,29.465375430142036,9.5
21,29.465375430142036,7.833333333333333
