generation,fitness,diversity
0,32.451889104178015,26.5
1,32.451889104178015,10.5
2,32.451889104178015,5.666666666666667
3,33.06849465299771,5.5
4,33.06849465299771,8.166666666666666
5,37.863098982485226,4.666666666666667
6,37.863098982485226,3.6666666666666665
7,38.775002552622176,5.333333333333333
8,38.77592311467376,7.333333333333333
9,38.77592311467376,6.666666666666667
10,38.77592311467376,8.333333333333334
11,38.77592311467376,7.333333333333333
12,38.7903315887938,6.0
13,38.7903315887938,5.333333333333333
14,38.7903315887938,5.166666666666667
15,38.7903315887938,6.166666666666667
16,38.7903315887938,5.833333333333333
17,38.7903315887938,3.8333333333333335
18,38.7903315887938,1.0
19,38.7903315887938,1.0
20,38.7903315887938,2.0
21,38.7903315887938,5.833333333333333
22,38.7903315887938,4.666666666666667
23,38.7903315887938,1.1666666666666667
24,38.7903315887938,3.0
25,38.7903315887938,3.0
26,38.7903315887938,4.666666666666667
27,38.7903315887938,2.0
28,38.7903315887938,6.0
29,38.888159600348345,7.666666666666667
30,38.888159600348345,1.1666666666666667
31,38.888159600348345,2.1666666666666665
32,38.888159600348345,5.166666666666667
33,38.888159600348345,5.666666666666667
34,38.888159600348345,3.8333333333333335
35,38.888159600348345,1.0
36,38.888159600348345,2.0
37,38.888159600348345,2.0
38,38.888159600348345,4.0
39,38.888159600348345,2.0
40,38.888159600348345,6.0
41,38.888159600348345,4.833333333333333
42,38.888159600348345,5.666666666666667
43,38.888159600348345,3.0
44,38.888159600348345,4.0
45,38.888159600348345,6.0
46,38.888159600348345,3.0
47,38.888159600348345,4.833333333333333
48,38.888159600348345,5.833333333333333
49,38.888159600348345,5.666666666666667
50,38.888159600348345,4.0
