generation,fitness,diversity
0,29.008398096949247,133.83333333333334
1,29.008398096949247,103.5
2,36.83927005784527,89.16666666666667
3,36.83927005784527,78.16666666666667
4,36.83927005784527,72.83333333333333
5,38.907884164858906,72.0
6,38.907884164858906,70.66666666666667
7,38.907884164858906,64.66666666666667
8,38.907884164858906,67.66666666666667
9,38.907884164858906,68.5
10,38.907884164858906,63.333333333333336
11,38.907884164858906,60.5
12,38.907884164858906,56.833333333333336
13,39.366655420050975,59.833333333333336
14,39.366655420050975,62.0
15,39.64725250220995,64.33333333333333
16,39.64725250220995,59.0
17,39.64725250220995,58.333333333333336
18,39.83174756778858,57.0
19,39.83174756778858,55.333333333333336
20,39.83174756778858,52.5
21,39.83174756778858,51.166666666666664
22,39.83174756778858,55.166666666666664
23,39.83174756778858,55.0
24,39.83174756778858,52.166666666666664
25,39.83174756778858,51.666666666666664
26,39.83174756778858,49.833333333333336
27,39.83174756778858,45.666666666666664
28,39.83174756778858,47.333333333333336
29,39.83174756778858,45.166666666666664
30,39.83174756778858,44.833333333333336
31,39.83174756778858,44.666666666666664
32,39.83174756778858,46.5
33,39.83174756778858,46.666666666666664
34,39.83174756778858,48.666666666666664
35,39.83174756778858,51.333333333333336
36,39.83174756778858,50.166666666666664
37,39.83174756778858,49.5
38,39.83174756778858,49.166666666666664
39,39.83174756778858,49.833333333333336
40,39.83174756778858,53.166666666666664
41,39.83174756778858,53.166666666666664
42,39.83174756778858,56.5
43,39.83174756778858,57.333333333333336
44,39.83174756778858,60.833333333333336
45,39.83174756778858,60.5
46,39.83174756778858,61.666666666666664
47,39.83174756778858,65.5
48,39.83174756778858,64.66666666666667
49,39.83174756778858,63.5
50,39.83174756778858,60.5
51,39.83174756778858,60.0
52,40.05177281548689,58.166666666666664
53,40.05177281548689,56.5
54,40.05177281548689,57.833333333333336
55,40.05177281548689,57.333333333333336
56,40.05177281548689,56.333333333333336
57,40.05177281548689,56.5
58,40.05177281548689,53.833333333333336
59,40.05177281548689,53.833333333333336
60,40.05177281548689,56.666666666666664
61,40.05177281548689,62.333333333333336
62,40.05177281548689,62.833333333333336
63,40.05177281548689,62.5
64,40.05177281548689,63.833333333333336
65,40.05177281548689,65.66666666666667
66,39.83174756778858,65.5
67,39.94475628598118,66.83333333333333
68,39.94475628598118,67.5
69,40.29995704127072,66.66666666666667
70,40.29995704127072,65.33333333333333
71,40.29995704127072,65.16666666666667
72,40.29995704127072,64.33333333333333
73,40.29995704127072,64.0
74,40.259997562233046,64.5
75,40.259997562233046,62.833333333333336
76,40.259997562233046,63.833333333333336
77,40.259997562233046,66.33333333333333
78,40.259997562233046,65.33333333333333
79,40.259997562233046,68.5
80,40.259997562233046,68.5
81,40.259997562233046,67.33333333333333
82,40.259997562233046,69.16666666666667
83,40.259997562233046,72.66666666666667
84,40.259997562233046,71.66666666666667
85,40.259997562233046,72.16666666666667
86,40.259997562233046,72.83333333333333
87,40.259997562233046,71.16666666666667
88,40.259997562233046,75.66666666666667
89,40.259997562233046,74.5
90,40.259997562233046,71.83333333333333
91,40.259997562233046,74.16666666666667
92,40.259997562233046,73.83333333333333
93,40.259997562233046,76.83333333333333
94,40.259997562233046,78.0
95,40.259997562233046,78.5
96,40.259997562233046,77.0
97,40.259997562233046,77.0
98,39.96967312886504,75.66666666666667
99,39.96967312886504,71.83333333333333
100,39.96967312886504,71.16666666666667
101,39.96967312886504,73.33333333333333
102,39.96967312886504,73.66666666666667
103,39.96967312886504,71.83333333333333
104,39.96967312886504,72.83333333333333
105,39.94475628598118,76.33333333333333
106,39.94475628598118,75.5
107,39.73731049833499,75.33333333333333
108,39.73731049833499,75.66666666666667
109,39.73731049833499,76.66666666666667
110,39.73731049833499,75.33333333333333
111,39.73731049833499,74.0
112,39.73731049833499,70.16666666666667
113,39.73731049833499,70.66666666666667
114,39.73731049833499,71.33333333333333
115,39.73731049833499,72.16666666666667
116,39.73731049833499,69.16666666666667
117,39.73731049833499,66.66666666666667
118,39.73731049833499,67.83333333333333
119,39.73731049833499,70.16666666666667
120,39.73731049833499,70.16666666666667
121,39.73731049833499,70.16666666666667
122,39.73731049833499,70.5
123,39.73731049833499,67.66666666666667
124,39.73731049833499,67.5
125,39.73731049833499,68.16666666666667
126,39.73731049833499,66.33333333333333
127,40.12003981464039,66.33333333333333
128,40.12003981464039,65.16666666666667
129,40.12003981464039,67.83333333333333
130,40.12003981464039,69.16666666666667
131,40.12003981464039,73.33333333333333
132,40.12003981464039,74.83333333333333
133,40.12003981464039,71.66666666666667
134,40.12003981464039,71.83333333333333
135,40.12003981464039,72.83333333333333
136,40.12003981464039,69.66666666666667
137,40.12003981464039,70.5
138,40.12003981464039,73.5
139,40.12799741838826,68.16666666666667
140,40.12799741838826,66.0
141,40.12799741838826,68.5
142,40.12799741838826,67.66666666666667
143,40.12799741838826,65.16666666666667
144,40.12482134470669,66.16666666666667
145,40.12482134470669,70.33333333333333
146,40.12482134470669,69.16666666666667
147,40.12482134470669,66.16666666666667
148,40.12482134470669,69.83333333333333
149,40.12482134470669,68.66666666666667
150,40.12482134470669,69.16666666666667
151,40.12482134470669,69.66666666666667
152,40.12482134470669,71.83333333333333
153,40.12482134470669,72.16666666666667
154,40.12482134470669,73.5
155,40.12482134470669,74.66666666666667
156,40.12482134470669,73.83333333333333
157,40.19683911023393,77.5
158,40.19683911023393,77.66666666666667
159,40.19683911023393,80.0
160,40.19683911023393,80.66666666666667
161,40.19683911023393,78.5
162,40.19683911023393,78.16666666666667
163,40.19683911023393,75.0
164,40.19683911023393,73.5
165,40.19683911023393,73.16666666666667
166,40.19683911023393,75.83333333333333
167,40.19683911023393,77.66666666666667
168,40.19683911023393,77.16666666666667
169,40.19683911023393,74.83333333333333
170,40.36773164249244,76.5
171,40.36773164249244,74.83333333333333
172,40.36773164249244,77.5
173,40.36773164249244,77.0
174,40.36773164249244,74.66666666666667
175,40.36773164249244,74.5
176,40.36773164249244,77.16666666666667
177,40.36773164249244,74.33333333333333
178,40.36773164249244,75.33333333333333
179,40.36773164249244,73.5
180,40.36773164249244,69.83333333333333
181,40.36773164249244,72.0
182,40.50352581788139,70.5
183,40.50352581788139,69.0
184,40.50352581788139,69.16666666666667
185,40.50352581788139,73.33333333333333
186,40.50352581788139,73.16666666666667
187,40.50352581788139,72.16666666666667
188,40.50352581788139,70.33333333333333
189,40.50352581788139,74.16666666666667
190,40.50352581788139,75.0
191,40.50352581788139,72.0
192,40.50352581788139,74.66666666666667
193,40.50352581788139,79.16666666666667
194,40.50352581788139,77.5
195,40.50352581788139,76.0
196,40.50352581788139,75.66666666666667
197,40.50352581788139,74.33333333333333
198,40.50352581788139,72.33333333333333
199,40.50352581788139,70.33333333333333
200,40.50352581788139,75.83333333333333
201,40.50352581788139,75.66666666666667
202,40.50352581788139,77.66666666666667
203,40.50352581788139,76.83333333333333
204,40.50352581788139,77.0
205,40.50352581788139,80.0
206,40.50352581788139,85.33333333333333
207,40.49944741735068,86.83333333333333
208,40.49944741735068,88.16666666666667
209,40.49944741735068,88.5
210,40.49944741735068,88.83333333333333
211,40.49944741735068,86.66666666666667
212,40.49944741735068,87.0
213,40.49944741735068,82.33333333333333
214,40.49944741735068,82.16666666666667
215,40.49944741735068,82.5
216,40.49944741735068,83.5
217,40.49944741735068,81.0
218,40.49944741735068,79.83333333333333
219,40.49944741735068,78.33333333333333
220,40.49944741735068,79.66666666666667
221,40.49944741735068,82.33333333333333
222,40.49944741735068,81.83333333333333
223,40.49944741735068,83.5
224,40.49944741735068,87.0
225,40.49944741735068,87.5
226,40.49944741735068,88.33333333333333
227,40.49944741735068,85.66666666666667
228,40.49944741735068,86.33333333333333
229,40.49944741735068,90.33333333333333
230,40.49944741735068,91.33333333333333
231,40.49944741735068,92.83333333333333
232,40.49944741735068,89.5
233,40.49944741735068,91.66666666666667
234,40.49944741735068,94.16666666666667
235,40.49944741735068,96.66666666666667
236,40.49944741735068,93.33333333333333
237,40.49944741735068,92.5
238,40.49944741735068,89.16666666666667
239,40.49944741735068,90.5
240,40.49944741735068,91.0
241,40.49944741735068,90.33333333333333
242,40.36218084453697,91.33333333333333
243,40.36218084453697,98.0
244,40.36218084453697,96.83333333333333
245,40.36218084453697,93.66666666666667
246,40.36218084453697,94.0
247,40.36218084453697,95.66666666666667
248,40.35613167374469,95.83333333333333
249,40.35613167374469,93.33333333333333
250,40.35613167374469,92.16666666666667
251,40.35613167374469,93.0
252,40.35613167374469,92.5
253,40.35613167374469,90.33333333333333
254,40.37864937553451,89.33333333333333
255,40.37864937553451,88.33333333333333
256,40.37864937553451,89.33333333333333
257,40.37864937553451,86.5
258,40.42145098295403,86.16666666666667
259,40.42145098295403,88.83333333333333
260,40.42145098295403,87.5
261,40.42145098295403,88.66666666666667
262,40.42145098295403,90.0
263,40.42145098295403,90.0
264,40.42145098295403,88.83333333333333
265,40.42145098295403,90.66666666666667
266,40.42145098295403,93.33333333333333
267,40.42145098295403,95.16666666666667
268,40.42145098295403,92.83333333333333
269,40.42145098295403,95.33333333333333
270,40.50781391526371,94.66666666666667
271,40.50781391526371,93.83333333333333
272,40.50781391526371,95.83333333333333
273,40.50781391526371,97.33333333333333
274,40.50781391526371,97.33333333333333
275,40.50781391526371,97.83333333333333
276,40.50781391526371,93.5
277,40.50781391526371,90.5
278,40.50781391526371,91.83333333333333
279,40.37864937553451,93.33333333333333
280,40.37864937553451,92.0
281,40.37864937553451,92.16666666666667
282,40.37864937553451,93.33333333333333
283,40.37864937553451,90.33333333333333
284,40.37864937553451,89.16666666666667
285,40.37864937553451,89.0
286,40.37864937553451,88.0
287,40.37864937553451,91.33333333333333
288,40.37864937553451,89.33333333333333
289,40.37864937553451,92.0
290,40.37864937553451,93.0
291,40.37864937553451,93.66666666666667
292,40.37864937553451,95.5
293,40.37864937553451,91.83333333333333
294,40.37864937553451,92.0
295,40.35809407627101,93.0
296,40.35809407627101,93.16666666666667
297,40.35809407627101,92.83333333333333
298,40.35809407627101,93.33333333333333
299,40.35809407627101,92.0
300,40.35809407627101,93.16666666666667
301,40.35809407627101,92.33333333333333
302,40.35809407627101,93.0
303,40.35809407627101,94.83333333333333
304,40.35809407627101,98.33333333333333
305,40.35809407627101,94.16666666666667
306,40.35809407627101,94.83333333333333
