generation,fitness,diversity
0,31.450446847124088,74.5
1,31.450446847124088,60.666666666666664
2,31.450446847124088,52.166666666666664
3,31.450446847124088,43.666666666666664
4,31.450446847124088,41.333333333333336
5,31.450446847124088,38.0
6,31.450446847124088,32.833333333333336
7,33.597647710144045,32.5
8,33.597647710144045,31.666666666666668
9,33.597647710144045,32.166666666666664
10,33.597647710144045,31.833333333333332
11,33.597647710144045,31.333333333333332
12,33.597647710144045,32.5
13,33.597647710144045,34.5
14,33.597647710144045,36.166666666666664
15,33.597647710144045,37.166666666666664
16,33.597647710144045,40.666666666666664
17,34.58604594443021,42.166666666666664
18,34.58604594443021,44.0
19,34.58604594443021,43.666666666666664
20,35.1783857504894,46.166666666666664
21,35.1783857504894,46.833333333333336
22,35.1783857504894,47.666666666666664
23,35.1783857504894,48.5
24,35.1783857504894,49.5
25,35.1783857504894,51.666666666666664
26,35.1783857504894,57.0
27,35.1783857504894,56.333333333333336
28,35.1783857504894,57.666666666666664
29,35.41732261821824,55.5
30,35.41732261821824,53.166666666666664
31,35.41732261821824,53.333333333333336
32,35.41732261821824,56.833333333333336
33,35.41732261821824,57.666666666666664
34,36.483797031044666,59.0
35,36.483797031044666,57.166666666666664
36,38.52333518542389,60.333333333333336
37,39.60129564152839,61.333333333333336
38,39.60129564152839,64.33333333333333
39,39.60129564152839,64.16666666666667
40,39.60129564152839,64.33333333333333
41,39.60129564152839,67.16666666666667
42,39.60129564152839,65.0
43,39.60129564152839,67.5
44,39.60129564152839,66.83333333333333
45,39.60129564152839,65.16666666666667
46,39.60129564152839,65.66666666666667
47,39.60129564152839,66.5
48,39.60129564152839,65.16666666666667
49,39.60129564152839,65.66666666666667
50,39.60129564152839,66.16666666666667
51,39.60129564152839,67.0
52,39.60129564152839,66.16666666666667
53,39.60129564152839,64.0
54,39.60129564152839,65.0
55,40.02925188318955,66.16666666666667
56,40.02925188318955,64.0
57,40.02925188318955,59.333333333333336
58,40.02925188318955,59.0
59,40.02925188318955,64.5
60,40.02925188318955,66.83333333333333
61,40.02925188318955,65.83333333333333
62,40.02925188318955,65.16666666666667
63,40.02925188318955,64.16666666666667
64,40.02925188318955,65.5
65,40.02925188318955,66.66666666666667
66,40.02925188318955,65.16666666666667
67,40.02925188318955,62.833333333333336
68,40.02925188318955,62.833333333333336
69,40.02925188318955,61.666666666666664
70,40.02925188318955,64.83333333333333
71,40.02925188318955,63.333333333333336
72,40.02925188318955,65.16666666666667
73,40.05436006476127,68.66666666666667
74,40.05436006476127,68.0
75,40.05436006476127,69.0
76,40.02925188318955,68.83333333333333
77,40.02925188318955,71.5
78,40.02925188318955,69.33333333333333
79,40.02925188318955,69.5
80,40.02925188318955,69.5
81,40.02925188318955,69.33333333333333
82,40.02925188318955,72.0
83,40.02925188318955,73.0
84,39.9055994875216,74.83333333333333
85,39.76262669786984,73.33333333333333
86,39.76262669786984,74.16666666666667
87,39.76262669786984,74.5
88,39.76262669786984,75.0
89,39.76262669786984,74.16666666666667
90,39.76262669786984,74.83333333333333
91,40.21754161633441,74.33333333333333
92,40.21754161633441,74.0
93,39.935102335901526,74.83333333333333
94,39.935102335901526,71.83333333333333
95,39.935102335901526,72.66666666666667
96,39.935102335901526,74.33333333333333
97,40.57961662038738,71.5
98,40.57961662038738,70.66666666666667
99,40.57961662038738,65.5
100,40.57961662038738,70.16666666666667
101,40.57961662038738,70.33333333333333
102,39.89830750715785,68.33333333333333
103,39.89830750715785,69.0
104,40.002998923600785,70.66666666666667
105,39.89830750715785,69.33333333333333
106,39.79825958114731,68.16666666666667
107,39.79825958114731,71.5
108,39.79825958114731,70.66666666666667
109,39.79825958114731,70.16666666666667
110,39.79825958114731,70.0
111,39.79825958114731,69.0
112,39.79825958114731,67.83333333333333
113,39.79825958114731,69.33333333333333
114,39.79825958114731,65.83333333333333
115,39.79825958114731,70.16666666666667
116,39.79825958114731,71.5
117,39.79825958114731,70.16666666666667
118,39.79825958114731,69.66666666666667
119,39.79825958114731,69.83333333333333
120,39.87236825653829,71.16666666666667
121,39.87236825653829,70.33333333333333
122,39.87236825653829,71.16666666666667
123,39.87236825653829,69.5
124,39.87236825653829,71.66666666666667
125,39.87236825653829,70.5
126,39.87236825653829,68.83333333333333
127,39.87236825653829,73.0
128,39.87236825653829,70.5
129,39.87236825653829,68.83333333333333
130,39.87236825653829,67.66666666666667
131,39.87236825653829,66.5
132,39.87236825653829,67.5
133,39.87236825653829,68.33333333333333
134,39.87236825653829,67.33333333333333
135,39.87236825653829,66.66666666666667
136,39.87236825653829,68.5
137,39.87236825653829,67.33333333333333
138,39.816649659685844,62.833333333333336
139,39.816649659685844,65.33333333333333
140,39.785743556654765,71.83333333333333
141,39.785743556654765,70.83333333333333
142,39.785743556654765,68.66666666666667
143,39.785743556654765,66.16666666666667
144,40.06241305676696,66.0
145,39.785743556654765,64.83333333333333
146,39.785743556654765,66.0
147,39.785743556654765,68.33333333333333
148,39.785743556654765,69.83333333333333
149,39.785743556654765,71.5
150,39.785743556654765,71.33333333333333
151,39.87500547285388,66.16666666666667
152,39.87500547285388,71.83333333333333
153,39.87500547285388,72.33333333333333
154,39.87500547285388,74.16666666666667
155,39.87500547285388,76.0
156,40.01292359891823,75.5
157,40.03938257800938,75.33333333333333
158,39.87500547285388,75.83333333333333
159,39.87500547285388,75.0
160,39.87500547285388,73.66666666666667
161,39.92437171489756,76.5
162,39.92437171489756,77.0
163,39.92437171489756,76.5
164,39.92437171489756,76.5
165,39.92437171489756,74.33333333333333
166,39.92437171489756,73.0
167,39.92437171489756,70.16666666666667
168,39.92437171489756,68.5
169,39.92437171489756,70.0
170,39.92437171489756,70.66666666666667
171,39.92437171489756,72.0
172,39.92437171489756,71.0
173,39.92437171489756,70.16666666666667
174,39.92437171489756,71.5
175,39.92437171489756,74.33333333333333
176,39.905007375841386,74.16666666666667
177,39.905007375841386,74.33333333333333
178,39.905007375841386,72.16666666666667
179,39.905007375841386,67.0
180,39.905007375841386,67.16666666666667
181,39.905007375841386,68.33333333333333
182,39.905007375841386,67.5
183,39.63512258457211,71.16666666666667
184,39.593306116286975,67.83333333333333
185,39.593306116286975,68.33333333333333
186,39.593306116286975,68.16666666666667
187,39.593306116286975,70.66666666666667
188,39.66593505122186,69.83333333333333
189,39.66593505122186,68.83333333333333
190,39.66593505122186,71.16666666666667
191,39.66593505122186,73.16666666666667
192,39.711508063820276,72.83333333333333
193,39.711508063820276,71.16666666666667
194,39.711508063820276,71.83333333333333
195,39.711508063820276,71.83333333333333
196,39.711508063820276,69.66666666666667
197,39.711508063820276,71.16666666666667
198,39.711508063820276,69.66666666666667
199,39.711508063820276,73.5
200,39.711508063820276,73.83333333333333
201,39.711508063820276,72.83333333333333
202,39.6852290544674,70.0
203,39.6852290544674,69.33333333333333
204,39.6852290544674,73.16666666666667
205,39.76138126759298,76.0
206,39.7304448066157,74.66666666666667
207,39.7304448066157,71.16666666666667
208,39.7304448066157,72.33333333333333
209,39.7304448066157,72.5
210,39.7304448066157,73.5
211,39.7304448066157,74.66666666666667
212,39.7304448066157,73.66666666666667
213,40.04563019094701,73.5
214,40.04563019094701,78.0
215,40.04563019094701,78.0
216,40.04563019094701,76.66666666666667
217,40.04563019094701,72.83333333333333
218,40.04563019094701,71.0
219,39.9457789898707,72.33333333333333
220,39.9457789898707,70.66666666666667
221,39.9457789898707,69.33333333333333
222,39.9457789898707,71.16666666666667
223,39.9457789898707,66.5
224,39.816765253387544,68.5
225,39.816765253387544,72.0
226,39.816765253387544,75.83333333333333
227,39.816765253387544,73.0
228,39.816765253387544,73.33333333333333
229,39.816765253387544,72.83333333333333
230,39.66629385628149,71.16666666666667
231,39.66629385628149,70.66666666666667
232,39.66629385628149,70.66666666666667
233,39.66629385628149,73.0
234,39.66629385628149,75.33333333333333
235,39.66629385628149,72.0
236,39.66629385628149,70.66666666666667
237,39.66629385628149,75.16666666666667
238,39.66629385628149,70.33333333333333
239,39.66629385628149,69.83333333333333
240,39.66629385628149,72.83333333333333
241,39.66629385628149,67.16666666666667
242,39.66629385628149,65.5
243,39.66629385628149,63.833333333333336
244,39.86317611014775,66.66666666666667
245,40.12768640906623,65.83333333333333
246,40.12768640906623,66.66666666666667
247,40.12768640906623,66.33333333333333
248,39.86317611014775,71.66666666666667
249,39.86317611014775,75.5
250,39.86317611014775,73.33333333333333
251,39.86317611014775,73.33333333333333
252,39.86317611014775,72.33333333333333
253,39.86317611014775,69.66666666666667
254,39.86317611014775,72.66666666666667
255,39.86317611014775,73.0
256,39.86317611014775,73.0
257,39.86317611014775,74.16666666666667
258,39.86317611014775,69.5
259,39.86317611014775,73.0
260,39.86317611014775,72.5
261,39.86317611014775,75.0
262,39.86317611014775,77.33333333333333
263,39.86317611014775,76.33333333333333
264,39.86317611014775,74.33333333333333
265,39.86317611014775,75.5
266,39.87084168736396,73.16666666666667
