generation,fitness,diversity
0,29.6889542585545,75.16666666666667
1,37.15649009978237,63.666666666666664
2,37.15649009978237,57.5
3,39.87809120072736,54.0
4,39.87809120072736,52.0
5,39.87809120072736,55.166666666666664
6,39.87809120072736,56.666666666666664
7,39.87809120072736,57.666666666666664
8,39.87809120072736,58.166666666666664
9,39.87809120072736,56.0
10,39.87809120072736,57.166666666666664
11,39.87809120072736,59.333333333333336
12,39.87809120072736,62.666666666666664
13,39.87809120072736,63.166666666666664
14,39.87809120072736,64.5
15,39.87809120072736,63.166666666666664
16,39.87809120072736,64.16666666666667
17,39.87809120072736,65.5
18,39.87809120072736,63.833333333333336
19,39.87809120072736,66.66666666666667
20,39.87809120072736,67.0
21,39.87809120072736,67.33333333333333
22,39.87809120072736,66.16666666666667
23,39.87809120072736,64.83333333333333
24,39.87809120072736,67.16666666666667
25,39.87809120072736,69.5
26,39.87809120072736,70.83333333333333
27,39.899607484117304,70.66666666666667
28,39.99706556689076,70.5
29,39.99706556689076,72.5
30,39.99706556689076,73.5
31,39.99706556689076,73.66666666666667
32,39.99706556689076,74.0
33,39.99706556689076,76.66666666666667
34,39.87809120072736,76.66666666666667
35,39.83743821885066,77.33333333333333
36,39.83743821885066,76.66666666666667
37,39.83743821885066,78.33333333333333
38,39.83743821885066,76.16666666666667
39,39.83743821885066,73.33333333333333
40,39.96394361581034,74.0
41,39.96394361581034,74.16666666666667
42,39.96394361581034,72.33333333333333
43,39.82206832888844,71.83333333333333
44,39.82206832888844,75.0
45,39.82206832888844,74.5
46,39.82206832888844,76.0
47,39.82206832888844,76.33333333333333
48,39.82206832888844,76.66666666666667
49,39.82206832888844,73.66666666666667
50,39.82206832888844,74.66666666666667
51,39.82206832888844,76.83333333333333
52,39.82206832888844,75.0
53,39.82206832888844,79.33333333333333
54,39.895808482121225,78.33333333333333
55,40.34055563943499,76.0
56,40.34055563943499,74.16666666666667
57,40.34055563943499,76.5
58,40.34055563943499,78.5
59,40.34055563943499,78.5
60,40.34055563943499,77.83333333333333
61,40.34055563943499,80.33333333333333
62,40.34055563943499,77.5
63,40.34055563943499,77.0
64,40.34055563943499,77.16666666666667
65,40.34055563943499,79.0
66,40.34055563943499,77.16666666666667
67,40.34055563943499,78.66666666666667
68,40.118614188373336,81.33333333333333
69,40.118614188373336,78.5
