noise,letter,accuracy
0.1,F,1.0
0.1,O,1.0
0.1,V,1.0
0.1,Z,1.0
0.15,F,1.0
0.15,O,1.0
0.15,V,1.0
0.15,Z,1.0
0.2,F,0.984
0.2,O,0.983
0.2,V,0.987
0.2,Z,0.977
0.25,F,0.933
0.25,O,0.921
0.25,V,0.939
0.25,Z,0.93
0.3,F,0.84
0.3,O,0.841
0.3,V,0.84
0.3,Z,0.814
0.35,F,0.641
0.35,O,0.685
0.35,V,0.658
0.35,Z,0.66
0.4,F,0.175
0.4,O,0.211
0.4,V,0.207
0.4,Z,0.186
0.45,F,0.046
0.45,O,0.054
0.45,V,0.056
0.45,Z,0.039
0.5,F,0.006
0.5,O,0.015
0.5,V,0.015
0.5,Z,0.017
