noise,letter,accuracy
0.1,O,1.0
0.1,P,1.0
0.1,W,1.0
0.1,Z,1.0
0.15,O,1.0
0.15,P,1.0
0.15,W,1.0
0.15,Z,1.0
0.2,O,0.993
0.2,P,0.996
0.2,W,0.991
0.2,Z,0.99
0.25,O,0.94
0.25,P,0.945
0.25,W,0.948
0.25,Z,0.936
0.3,O,0.822
0.3,P,0.825
0.3,W,0.823
0.3,Z,0.85
0.35,O,0.688
0.35,P,0.663
0.35,W,0.656
0.35,Z,0.696
0.4,O,0.231
0.4,P,0.207
0.4,W,0.178
0.4,Z,0.235
0.45,O,0.051
0.45,P,0.033
0.45,W,0.033
0.45,Z,0.069
0.5,O,0.01
0.5,P,0.003
0.5,W,0.007
0.5,Z,0.008
