noise,letter,accuracy
0.1,B,0.0
0.1,C,0.0
0.1,D,0.67
0.1,O,0.86
0.15,B,0.0
0.15,C,0.0
0.15,D,0.62
0.15,O,0.81
0.2,B,0.0
0.2,C,0.0
0.2,D,0.52
0.2,O,0.67
0.25,B,0.0
0.25,C,0.0
0.25,D,0.51
0.25,O,0.61
0.3,B,0.0
0.3,C,0.0
0.3,D,0.45
0.3,O,0.57
0.35,B,0.0
0.35,C,0.0
0.35,D,0.47
0.35,O,0.52
0.4,B,0.0
0.4,C,0.0
0.4,D,0.41
0.4,O,0.42
0.45,B,0.0
0.45,C,0.0
0.45,D,0.26
0.45,O,0.39
0.5,B,0.0
0.5,C,0.0
0.5,D,0.19
0.5,O,0.24
