noise,letter,accuracy
0.1,O,1.0
0.1,P,1.0
0.1,W,1.0
0.1,Z,1.0
0.15,O,1.0
0.15,P,1.0
0.15,W,1.0
0.15,Z,1.0
0.2,O,1.0
0.2,P,1.0
0.2,W,1.0
0.2,Z,1.0
0.25,O,0.92
0.25,P,0.93
0.25,W,0.97
0.25,Z,0.96
0.3,O,0.77
0.3,P,0.74
0.3,W,0.85
0.3,Z,0.91
0.35,O,0.62
0.35,P,0.58
0.35,W,0.65
0.35,Z,0.75
